0000   -165.   +40.   20.0
0000   -165.   +30.   21.7
0000   -150.   +40.   19.2
0000   -150.   +30.   20.7
0100   -165.   +40.   18.2
0100   -165.   +30.   19.3
0100   -150.   +40.   22.0
0100   -150.   +30.   19.2
0200   -165.   +40.   19.9
0200   -165.   +30.   19.3
0200   -150.   +40.   19.6
0200   -150.   +30.   19.0
0300   -165.   +40.   19.9
0300   -165.   +30.   19.3
0300   -150.   +40.   12.6
0300   -150.   +30.   19.0
0400   -165.   +40.   19.7
0400   -165.   +30.   13.3
0400   -150.   +40.   19.6
0400   -150.   +30.   19.0
0500   -165.   +40.   17.9
0500   -165.   +30.   19.3
0500   -150.   +40.   19.6
0500   -150.   +30.   19.6
0600   -165.   +40.   19.9
0600   -165.   +30.   20.3
0600   -150.   +40.   19.6
0600   -150.   +30.   12.0
0700   -165.   +40.   15.9
0700   -165.   +30.   19.3
0700   -150.   +40.   19.6
0700   -150.   +30.   19.0
0800   -165.   +40.   19.9
0800   -165.   +30.   19.3
0800   -150.   +40.   13.6
0800   -150.   +30.   19.0
0900   -165.   +40.   19.9
0900   -165.   +30.   19.3
0900   -150.   +40.   19.8
0900   -150.   +30.   29.0
1000   -165.   +40.   19.9
1000   -165.   +30.   19.3
1000   -150.   +40.   13.6
1000   -150.   +30.   19.0
1100   -165.   +40.   19.9
1100   -165.   +30.   19.3
1100   -150.   +40.   19.6
1100   -150.   +30.   19.0
1200   -165.   +40.   16.9
1200   -165.   +30.   19.9
1200   -150.   +40.   19.6
1200   -150.   +30.   19.0
1300   -165.   +40.   19.9
1300   -165.   +30.   12.3
1300   -150.   +40.   19.6
1300   -150.   +30.   19.0
1400   -165.   +40.   19.9
1400   -165.   +30.   11.3
1400   -150.   +40.   19.6
1400   -150.   +30.   19.0
1500   -165.   +40.   19.9
1500   -165.   +30.   18.3
1500   -150.   +40.   19.6
1500   -150.   +30.   19.0
1600   -165.   +40.   16.9
1600   -165.   +30.   19.3
1600   -150.   +40.   19.6
1600   -150.   +30.   19.0
1700   -165.   +40.   18.9
1700   -165.   +30.   19.3
1700   -150.   +40.   19.6
1700   -150.   +30.   19.0
1800   -165.   +40.   17.9
1800   -165.   +30.   19.3
1800   -150.   +40.   19.6
1800   -150.   +30.   17.0
1900   -165.   +40.   17.9
1900   -165.   +30.   17.3
1900   -150.   +40.   19.6
1900   -150.   +30.   19.0
2000   -165.   +40.   12.9
2000   -165.   +30.   19.3
2000   -150.   +40.   19.6
2000   -150.   +30.   10.0
2100   -165.   +40.   19.9
2100   -165.   +30.   19.3
2100   -150.   +40.   19.5
2100   -150.   +30.   19.0
2200   -165.   +40.   19.9
2200   -165.   +30.   19.3
2200   -150.   +40.   19.6
2200   -150.   +30.   19.5
2300   -165.   +40.   21.0
2300   -165.   +30.   19.5
2300   -150.   +40.   18.4
2300   -150.   +30.   22.0
